의도,개체,시점,요일,세부위치,질문,답변,답변이미지
학과사무실,간호학과,,,,간호학과 과사무실 어디에요?,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호학과 과사무실 ㅇㄷ?,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호학과 과사무실은 어디로 가야 하죠?,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,과사무실인데 간호학과인..,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호학과 과사무실 위치를 알려줘용,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호학과 과사무실 위치 알려주세요,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호학과 사무실 어딘가요?,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호학과 사무실 위치,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,사무실 오브 간호학과,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호학과 사무실 가려구.,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호과 사무실 오딩?,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,사무실인데 간호과꺼,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,사무실 가려고 하는데 간호과야.,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호과 사무실은 어딥니까?,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호과 사무실 위치,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호대 사무실 위치 알려줘,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호대 삼실 어댜??,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호대 사무실 어딨엉,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호대 과사 위치,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호대 ㄱㅅ 위치,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간호대 과사 ㅇㅊ,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간대 과사 어딨죠?,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,과사 오브 간대 알려줘요,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,간호학과,,,,간과 과사 알려주셈.,"사무실 : 간호대학 205호
T 063-270-4682, 3104
F 063-270-4487",
학과사무실,IT응용시스템공학과,,,,IT응용시스템공학과 과사무실이 어디야?,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
학과사무실,IT응용시스템공학과,,,,it응용시스템공학과 사무실 위치,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
학과사무실,IT응용시스템공학과,,,,아응 과사무실 알려줭,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
학과사무실,IT응용시스템공학과,,,,아응 사무실은 어디 건물에?,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
학과사무실,IT응용시스템공학과,,,,it응용학과 사무실 위치 알려주셈,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
학과사무실,IT응용시스템공학과,,,,아응과 사무실은 오딨는거야,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
학과사무실,IT응용시스템공학과,,,,IT응용학과 사무실 ㅇㄷ,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
학과사무실,IT응용시스템공학과,,,,아응 과사 어딨죠?,"사무실 : 공대 1호관 142호
T 063-270-4773, 4778
F 063-270-4542",
